DISEASE,SPECIALIST,SYMPTOMS,TREATMENTS,MEDICINES,SIDE EFFECTS(from the medicine),COLOR CODE
Acute Flaccid Myelitis,Neurologist,"Sudden limb weakness, Loss of muscle tone, Facial droop, Difficulty moving eyes","Physical therapy, Occupational therapy, Supportive care","Intravenous immunoglobulin (IVIG), Steroids","Headache, Nausea, Risk of infection",#FFC107
Alzheimer's Disease,Neurologist,"Memory loss, Confusion, Difficulty thinking, Mood changes","Cognitive therapy, Structured routines, Supportive care","Donepezil, Memantine","Nausea, Diarrhea, Dizziness",#8A2BE2
Arboviral Encephalitis,Neurologist,"Fever, Headache, Confusion, Seizures","Supportive care, Hospitalization","Antiviral (supportive use only), Anticonvulsants","Drowsiness, Fatigue, Allergic reactions",#FF7F50
Asthma,Pulmonologist,"Shortness of breath, Wheezing, Chest tightness","Inhaled corticosteroids, Bronchodilators","Albuterol, Fluticasone","Throat irritation, Rapid heartbeat",#17A2B8
Babesiosis,Infectious Disease Specialist,"Fever, Fatigue, Muscle aches, Hemolytic anemia",Antiparasitic therapy,"Atovaquone + Azithromycin, Clindamycin + Quinine","Nausea, Tinnitus, Diarrhea",#800000
Bacterial Vaginosis,Gynecologist,"Vaginal discharge, Odor, Itching",Antibiotics,"Metronidazole, Clindamycin","Metallic taste, Stomach upset",#E75480
Bladder Cancer,Urologist / Oncologist,"Blood in urine, Painful urination, Pelvic pain","Surgery, Chemotherapy, Immunotherapy","BCG therapy, Cisplatin","Fatigue, Nausea, Incontinence",#1E90FF
Breast Cancer,Oncologist,"Lump in breast, Nipple discharge, Skin dimpling","Surgery, Radiation, Chemotherapy, Hormone therapy","Tamoxifen, Doxorubicin","Nausea, Hair loss, Hot flashes",#FF69B4
Cancer,Oncologist,"Unexplained weight loss, Fatigue, Pain","Varies by type: Surgery, Radiation, Chemotherapy",Depends on cancer type,"Nausea, Hair loss, Immunosuppression",#000000
Carbon Monoxide Poisoning,Emergency Physician / Toxicologist,"Headache, Dizziness, Confusion, Chest pain","100% Oxygen, Hyperbaric oxygen therapy","Oxygen (not a drug), supportive meds","Oxygen toxicity (in rare cases), Lung irritation",#A9A9A9
